name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Ho Chi Minh City, VN",7/31/2023,93.9,86.2,89.1,94.9,86,90.8,79,79.9,0.11,49,25.4,rain,0,0,21.3,15.9,93.4,1011.3,100,9.7,129.3,4.7,8,0,2023-07-31T05:41:00,2023-07-31T18:02:00,0.15,Partially cloudy,"Mưa, nhiệt độ cao, độ ẩm trung bình.",partly-cloudy-day,VVTS
"Ho Chi Minh City, VN",8/1/2023,89.3,77.2,81.5,92,76.2,80.9,64.5,85.3,0.11,95,43.4,rain,0,0,21.7,16.9,50.2,1009.3,98.1,11.1,118.5,4.3,7,0,2023-08-01T05:35:00,2023-08-01T18:11:00,0.19,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/2/2023,92.7,82.3,86.3,95.5,81.5,85.8,74.5,95.9,0.15,65,66.9,rain,0,0,15.2,11.6,217.1,1006.2,82.7,10.8,132.4,4.8,4,0,2023-08-02T05:31:00,2023-08-02T18:14:00,0.22,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/3/2023,95.7,85.5,87.9,97.3,84.4,88.4,78.3,89.9,1.03,78,37.7,rain,0,0,15.7,10.3,126.6,1006.9,100,20,152.8,5.5,10,0,2023-08-03T05:47:00,2023-08-03T18:04:00,0.25,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/4/2023,95.6,83.4,87.8,97.7,83.2,88.8,70.2,83.2,0.53,85,66.2,rain,0,0,22.2,14.7,353,1008.2,93.2,17.2,206.1,7.4,5,0,2023-08-04T05:46:00,2023-08-04T18:06:00,0.29,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/5/2023,90.2,81.9,86,93,80,85.9,68.6,97,0.66,73,46,rain,0,0,11.8,8,27.7,1012.8,96,11.9,186.9,6.7,6,0,2023-08-05T05:46:00,2023-08-05T18:03:00,0.32,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/6/2023,91,79.8,84.5,92.5,79.8,85.4,67.8,96.3,0.58,85,79.9,rain,0,0,17.1,11.6,276.2,1011.8,83.9,7.5,215.7,7.8,2,0,2023-08-06T05:46:00,2023-08-06T18:02:00,0.36,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/7/2023,88.2,79.4,82.3,90.6,78.2,83.8,71.5,86,0.14,61,77.8,rain,0,0,17,9.9,353.6,1011.8,99.6,15.7,195.1,7,6,0,2023-08-07T05:48:00,2023-08-07T18:12:00,0.39,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/8/2023,92.8,80.5,85,95.1,80.1,86.4,71.8,87.2,0.19,84,55.8,rain,0,0,24,17.6,358.7,1013.1,89,17.8,234.2,8.4,5,0,2023-08-08T05:38:00,2023-08-08T18:02:00,0.42,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/9/2023,95.9,83.5,88.1,98.2,82.4,89.5,79.2,74,0.19,56,66.2,rain,0,0,13.9,9.4,246,1006.4,89.9,5,260.3,9.4,6,0,2023-08-09T05:31:00,2023-08-09T18:07:00,0.46,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",8/10/2023,90,78.1,82.5,92.7,76.4,83.5,67.4,91.7,0.44,82,60.9,rain,0,0,21.9,13.6,57.1,1006.9,85.6,12.5,224.7,8.1,6,0,2023-08-10T05:36:00,2023-08-10T18:01:00,0.49,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/11/2023,91.8,82.8,86.6,94,82.2,88.5,72.3,100,0.13,78,68.1,rain,0,0,18.2,12.8,227.7,1010.2,90.6,15.5,190.7,6.9,5,0,2023-08-11T05:46:00,2023-08-11T18:09:00,0.53,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/12/2023,88.7,79.9,84.4,91.1,79,86.4,69.9,87.7,0,49,25.5,rain,0,0,20.6,15,294.8,1009.3,88.6,11.3,258.3,9.3,4,0,2023-08-12T05:44:00,2023-08-12T18:13:00,0.56,Partially cloudy,"Nắng, nhiệt độ vừa, độ ẩm cao.",partly-cloudy-day,VVTS
"Ho Chi Minh City, VN",8/13/2023,92.5,85.2,87.6,95.4,85.1,89.2,72.2,73.2,0.22,66,66.2,rain,0,0,18.6,9.5,257.4,1016.7,97.7,11.5,139.2,5,6,0,2023-08-13T05:37:00,2023-08-13T18:14:00,0.59,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",8/14/2023,93.1,84.7,89.1,96,82.7,88.9,79.2,68.1,0.19,99,57.9,rain,0,0,19.9,15.3,57.9,1004.6,74.1,18.5,298.3,10.7,9,0,2023-08-14T05:44:00,2023-08-14T18:05:00,0.63,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",8/15/2023,90.2,80.9,85,92.8,80.9,86.6,72.2,85.9,1.4,68,37.1,rain,0,0,25.4,17.5,201.5,1009.1,89.7,12.4,186.5,6.7,5,0,2023-08-15T05:36:00,2023-08-15T18:01:00,0.66,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/16/2023,91.8,83.6,87.6,93.1,81.8,89.5,73.7,92.4,0.21,97,76.8,rain,0,0,24.9,15.3,225.1,1015.3,96.2,18.9,189.7,6.8,10,0,2023-08-16T05:32:00,2023-08-16T18:08:00,0.69,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/17/2023,92.8,84.8,88.1,95,83.5,89.3,75.4,75.5,0.29,90,67.2,rain,0,0,14.3,11,58.2,1003,100,16.5,157.8,5.7,5,0,2023-08-17T05:44:00,2023-08-17T18:00:00,0.73,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",8/18/2023,93,81.9,85.1,95.2,80.4,86.7,69.5,90.8,0.32,100,59.4,rain,0,0,15.6,12.4,142.4,1010.8,100,19.9,256.7,9.2,3,0,2023-08-18T05:44:00,2023-08-18T18:00:00,0.76,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/19/2023,87.2,78.6,82.7,88.6,78.1,84.4,65,90.6,0.3,70,42.4,rain,0,0,17.7,11.1,129.3,1010,100,11.5,218.7,7.9,5,0,2023-08-19T05:34:00,2023-08-19T18:04:00,0.8,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/20/2023,92.5,83.1,88,94,83,88.4,78.3,82.3,0.09,43,15.8,rain,0,0,16.8,12.1,222.2,1011.5,79.9,16.6,261.1,9.4,8,0,2023-08-20T05:44:00,2023-08-20T18:14:00,0.83,Partially cloudy,"Mưa, nhiệt độ cao, độ ẩm cao.",partly-cloudy-day,VVTS
"Ho Chi Minh City, VN",8/21/2023,91.9,82,85.6,94.8,81.8,84.7,75.3,89.2,0.18,67,39,rain,0,0,21.6,15.8,172.8,1010.5,99.3,10.4,93.9,3.4,6,0,2023-08-21T05:42:00,2023-08-21T18:19:00,0.86,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/22/2023,90.6,79,83.9,93,78.1,83.2,67.2,93.2,0.65,83,77.2,rain,0,0,17,9.2,179,1007.7,100,15.9,203.4,7.3,6,0,2023-08-22T05:48:00,2023-08-22T18:15:00,0.9,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/23/2023,94,82.7,86.7,95.7,82.4,87.4,72.7,94.4,1.6,69,67.6,rain,0,0,14.6,10.8,234.2,1008.6,83.9,17.7,181.8,6.5,7,0,2023-08-23T05:30:00,2023-08-23T18:06:00,0.93,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/24/2023,90,80.1,83.2,91.5,79.3,83.6,73,74.9,0.43,77,61,rain,0,0,15.9,9.7,136.7,1007.6,90.7,18.4,199,7.2,3,0,2023-08-24T05:34:00,2023-08-24T18:14:00,0.97,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",8/25/2023,88.9,78.9,82.7,91.5,77.5,84,65.2,86,0.89,80,33,rain,0,0,14.7,11,174.9,1006,96.6,12.4,248.5,8.9,4,0,2023-08-25T05:45:00,2023-08-25T18:09:00,0,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/26/2023,93.9,85.6,88.8,95.3,84.2,88.2,79,94.2,0.13,100,58.4,rain,0,0,16.9,12.1,346.7,1007.3,100,14.8,203.2,7.3,6,0,2023-08-26T05:38:00,2023-08-26T18:08:00,0.03,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/27/2023,92.7,83.6,86.1,95.5,82,86.2,72.5,81.1,0.49,59,72.6,rain,0,0,22.5,14.1,53.9,1008.2,96.8,11.6,225.1,8.1,5,0,2023-08-27T05:46:00,2023-08-27T18:15:00,0.07,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/28/2023,88.5,79.8,83.7,90.8,79.6,83.4,74.3,82.1,0.44,85,52.1,rain,0,0,13.7,7.6,260.8,1011,94.7,18.6,186.3,6.7,4,0,2023-08-28T05:33:00,2023-08-28T18:02:00,0.1,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/29/2023,93.1,84.4,87.5,95.4,83.6,87.6,71.2,83.8,0.41,78,43.6,rain,0,0,20.3,15.7,164.5,1005,100,10.5,199.4,7.2,6,0,2023-08-29T05:41:00,2023-08-29T18:03:00,0.14,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",8/30/2023,93,83.5,86,94.9,81.9,86.3,78,91,0.01,39,29.4,rain,0,0,13.4,10.3,265.4,1007.1,81,17.4,213.7,7.7,7,0,2023-08-30T05:45:00,2023-08-30T18:11:00,0.17,Partially cloudy,"Mưa, nhiệt độ cao, độ ẩm cao.",partly-cloudy-day,VVTS
"Ho Chi Minh City, VN",8/31/2023,91.6,80.3,84.4,93.2,79.8,83.5,72.8,73.3,0.25,82,52.4,rain,0,0,21.9,12.5,178.9,1008.7,100,15.2,246,8.9,5,0,2023-08-31T05:35:00,2023-08-31T18:02:00,0.2,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm trung bình.",rain,VVTS
"Ho Chi Minh City, VN",9/1/2023,87.3,79.8,83,89.7,79.1,82.5,65.3,95.9,0.14,91,73.1,rain,0,0,22.2,12.7,175.3,1009,100,16.7,134.4,4.8,3,0,2023-09-01T05:37:00,2023-09-01T18:01:00,0.24,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",9/2/2023,89.8,81,83.7,92.3,80.8,83,69.8,93.8,0.1,68,30.9,rain,0,0,13.1,7.4,203.2,1007.2,100,13.3,282,10.2,5,0,2023-09-02T05:44:00,2023-09-02T18:08:00,0.27,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",9/3/2023,86.2,77.5,81.9,87.5,76.2,81.7,67.7,85.9,0.18,55,41,rain,0,0,17.3,13.1,236.1,1007.7,95.6,17.2,266.4,9.6,3,0,2023-09-03T05:43:00,2023-09-03T18:06:00,0.31,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",9/4/2023,94,82.7,87,95.8,81.8,86.1,78.9,94.9,0.14,63,56.8,rain,0,0,15.8,9,163.6,1008.9,89.6,11.4,258.4,9.3,4,0,2023-09-04T05:38:00,2023-09-04T18:19:00,0.34,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",9/5/2023,91.6,81.3,83.7,93.9,79.5,83,67.6,96.2,0.9,72,42.7,rain,0,0,19.1,10.6,297,1004.5,60.8,14.7,186.2,6.7,5,0,2023-09-05T05:34:00,2023-09-05T18:11:00,0.37,"Rain, Overcast","Mưa, nhiệt độ vừa, độ ẩm cao.",rain,VVTS
"Ho Chi Minh City, VN",9/6/2023,92.4,82.3,86.3,93.5,80.8,85.4,77.6,77.2,0.23,60,68.7,rain,0,0,13.1,8.9,35.4,1011.2,96.4,18.6,249.8,9,4,0,2023-09-06T05:31:00,2023-09-06T18:14:00,0.41,"Rain, Overcast","Mưa, nhiệt độ cao, độ ẩm trung bình.",rain,VVTS
